"","Todos los dispositivos","De escritorio","Móvil"
"dic 2023","2396","2396","0"
"ene 2024","155","155","0"
"feb 2024","8067","1251","6816"
"mar 2024","10050","10050","0"
"abr 2024","33903","33903","0"
"may 2024","8272","8272","0"
