"","Tráfico directo","Tráfico de referencia","Tráfico orgánico","Tráfico de pago","Tráfico social orgánico","Tráfico social de pago","Tráfico de correo","Anuncios de display"
"nov 2023","0","0","1195","1382","0","0","0","0"
"dic 2023","1639","0","594","163","0","0","0","0"
"ene 2024","0","0","155","0","0","0","0","0"
"feb 2024","4677","0","2931","459","0","0","0","0"
"mar 2024","2931","85","6119","915","0","0","0","0"
"abr 2024","32728","0","1142","33","0","0","0","0"
