"","Tráfico directo","Tráfico de referencia","Tráfico orgánico","Tráfico de pago","Tráfico social orgánico","Tráfico social de pago","Tráfico de correo","Anuncios de display"
"feb 2024","4677","0","2931","459","0","0","0","0"
"mar 2024","2931","85","6119","915","0","0","0","0"
"abr 2024","32728","0","1142","33","0","0","0","0"
"may 2024","6785","492","824","171","0","0","0","0"
"jun 2024","8112","0","1245","1","0","0","67","0"
"jul 2024","36107","0","239","699","0","0","0","0"
